City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Nikolskoye,59.7,30.79,59.0,62,20,6.71
Matsumoto,36.23,137.97,78.8,69,75,10.29
San Patricio,19.22,-104.7,77.63,80,100,0.49
Puerto Ayora,-0.74,-90.35,66.99,96,88,8.99
Katsuura,35.13,140.3,81.0,81,100,3.0
Nyurba,63.28,118.33,81.86,46,0,2.26
Kapaa,22.08,-159.32,80.6,74,40,12.75
George Town,5.41,100.34,87.8,70,40,8.05
Atlantic City,39.36,-74.42,82.4,74,1,8.05
Fortuna,40.6,-124.16,55.99,93,90,8.05
Talcahuano,-36.72,-73.12,37.4,93,0,4.7
Maseru,-29.32,27.48,41.04,54,0,2.51
Airai,-8.93,125.41,70.97,49,48,4.21
Beringovskiy,63.05,179.32,54.91,62,95,7.7
Clyde River,70.47,-68.59,46.4,81,90,2.24
Berlevåg,70.86,29.09,64.4,100,90,3.36
Lebu,-37.62,-73.65,43.3,76,3,4.16
Kamwenge,0.19,30.45,64.02,92,89,3.0
Hofn,64.25,-15.21,47.07,62,39,14.65
Iskateley,67.68,53.15,72.12,51,2,9.66
Hong Kong,22.29,114.16,93.2,56,20,12.75
Kirakira,-10.45,161.92,82.06,78,29,13.38
Butaritari,3.07,172.79,83.35,76,1,13.96
Cherskiy,68.75,161.3,69.24,59,0,13.49
Carnarvon,-24.87,113.63,78.8,31,0,9.17
Marabba,12.35,32.18,78.6,68,97,14.34
Kangaatsiaq,68.31,-53.46,45.32,89,71,19.62
Chui,-33.7,-53.46,63.19,95,82,8.9
Bethel,41.37,-73.41,70.0,94,1,3.31
Busselton,-33.65,115.33,63.0,50,32,10.2
Port Alfred,-33.59,26.89,64.0,31,0,7.96
Hamilton,39.18,-84.53,73.4,94,75,1.88
Beloha,-25.17,45.05,65.91,61,0,16.67
Khatanga,71.97,102.5,44.29,89,100,15.68
Aksarka,66.56,67.8,63.93,52,63,11.63
Angoche,-16.23,39.91,73.17,69,34,10.8
Saint Paul Harbor,57.79,-152.41,60.8,59,90,4.7
Vaasa,63.1,21.62,53.01,81,90,10.29
Fiumicino,41.77,12.23,78.01,94,0,3.36
Vardø,70.37,31.11,64.4,68,48,4.7
Torbay,47.67,-52.73,63.0,93,90,13.87
Alofi,-19.06,-169.92,73.4,100,64,16.11
Lagoa,39.05,-27.98,68.5,76,5,6.13
Jamestown,42.1,-79.24,69.8,88,90,3.36
Stroud,51.75,-2.2,59.0,93,69,1.01
Upernavik,72.79,-56.15,44.46,80,64,7.18
Punta de Bombón,-17.17,-71.79,59.38,82,97,10.31
Caceres,39.52,-6.37,70.0,60,0,1.01
Margate,51.38,1.39,64.99,85,27,11.41
Ponta do Sol,32.67,-17.1,70.0,78,0,3.49
Kavieng,-2.57,150.8,84.54,74,99,12.59
Saint-Pierre,-21.34,55.48,69.8,52,20,32.21
Menongue,-14.66,17.69,46.53,55,4,4.16
Cabo San Lucas,22.89,-109.91,84.99,67,31,4.0
Oyama,36.3,139.8,84.99,69,75,4.7
Sørland,67.67,12.69,51.8,93,75,20.8
Norman Wells,65.28,-126.83,57.2,71,20,10.29
Awjilah,29.11,21.29,76.32,65,0,8.25
Burnie,-41.07,145.92,48.99,83,100,3.0
Mil'kovo,54.72,158.62,69.24,51,8,1.36
Riyadh,24.69,46.72,95.0,30,32,10.29
Zyryanka,65.75,150.85,89.01,25,0,7.23
Hailey,43.52,-114.32,64.4,48,40,8.05
Yeniseysk,58.45,92.17,57.34,73,99,8.08
Chatrapur,19.35,84.98,87.84,60,100,8.59
Thompson,55.74,-97.86,71.6,78,20,3.36
Tadine,-21.55,167.88,71.35,80,39,15.55
Panzhihua,26.59,101.71,80.01,55,99,1.01
Arraial do Cabo,-22.97,-42.03,70.65,79,6,22.46
Santa María del Oro,25.93,-105.37,64.65,84,96,7.58
Ilulissat,69.22,-51.1,53.6,58,100,4.7
Kieta,-6.22,155.63,84.45,70,89,5.73
Mahébourg,-20.41,57.7,67.57,64,69,24.07
Evensk,61.95,159.23,60.49,63,23,10.13
Opuwo,-18.06,13.84,48.63,48,0,8.59
Avarua,-21.21,-159.78,71.6,94,13,2.24
Faanui,-16.48,-151.75,77.54,79,11,22.28
Dahuk,36.87,42.99,99.72,12,53,3.83
Nagapattinam,10.77,79.83,89.73,61,99,17.87
Guerrero Negro,27.98,-114.06,64.24,88,0,11.12
Ambon City,-3.7,128.18,82.0,88,75,8.05
Cap Malheureux,-19.98,57.61,70.0,52,52,8.99
Zeya,53.75,127.27,78.17,55,97,9.15
Imbituba,-28.24,-48.67,66.2,93,69,8.05
Tasiilaq,65.61,-37.64,37.4,93,98,6.93
Aklavik,68.22,-135.01,60.8,51,20,10.29
Turbat,26.0,63.04,92.05,50,51,7.74
Upata,8.01,-62.4,78.01,88,100,3.0
New Norfolk,-42.78,147.06,53.01,79,100,0.51
Melfort,52.87,-104.62,71.6,100,90,9.17
Goderich,43.75,-81.72,70.0,82,0,9.8
La Rochelle,46.17,-1.15,62.6,88,3,9.17
Lüderitz,-26.65,15.16,73.4,17,0,17.22
East London,-33.02,27.91,55.4,37,0,9.17
Ahipara,-35.17,173.17,53.56,79,27,8.79
Mount Isa,-20.73,139.5,80.6,22,0,1.12
Qaanaaq,77.48,-69.36,42.84,63,0,2.19
Apastovo,55.2,48.51,64.4,72,40,15.66
Sangar,63.92,127.47,76.68,44,96,7.25
Bandarbeyla,9.49,50.81,82.99,51,59,29.91
Jacareacanga,-6.22,-57.75,74.52,73,85,1.12
Ojinaga,29.57,-104.42,80.01,74,40,4.7
Severo-Kuril'sk,50.68,156.12,51.04,85,99,3.53
Richards Bay,-28.78,32.04,60.57,68,8,5.55
Kinkala,-4.36,14.76,64.4,93,22,4.7
Pangody,65.85,74.49,60.82,49,0,14.41
Flinders,-34.58,150.86,66.99,63,0,5.99
Asău,46.43,26.4,69.01,82,40,2.91
Mt. Pleasant,32.79,-79.86,82.99,94,1,8.88
Grand Gaube,-20.01,57.66,70.0,52,56,8.99
Yumen,40.28,97.2,87.03,17,90,11.79
Sakakah,29.97,40.21,93.2,18,0,10.29
Bisira,8.52,-81.71,58.46,100,100,3.18
Salgótarján,48.1,19.8,69.01,81,51,1.83
Husavik,66.04,-17.34,42.8,87,90,9.17
Makakilo City,21.35,-158.09,82.4,54,1,5.82
Saldanha,-33.01,17.94,48.2,66,0,1.12
Cametá,-2.24,-49.5,76.87,83,99,7.38
Tibacuy,4.35,-72.46,73.67,91,99,3.6
Natitingou,10.3,1.38,70.34,96,99,6.29
Katobu,-4.94,122.53,84.9,58,83,4.05
Lagunas,-5.23,-75.68,71.58,93,19,0.09
Ust-Nera,64.57,143.2,85.1,34,93,2.15
Silver City,32.77,-108.28,68.0,72,40,3.36
Kupang,-10.17,123.58,87.8,31,20,21.92
Micheweni,-4.97,39.83,78.04,69,0,18.1
Mehamn,71.04,27.85,50.0,100,90,3.36
Loikaw,19.67,97.21,84.29,70,41,2.19
Kayerkan,69.35,87.76,55.4,62,20,26.84
Soyo,-6.13,12.37,70.32,85,26,1.88
Mufumbwe,-13.68,24.8,51.84,59,55,10.27
Ribeira Grande,38.52,-28.7,68.59,72,10,5.73
Half Moon Bay,37.46,-122.43,61.0,93,90,5.82
Tuktoyaktuk,69.45,-133.04,59.0,58,20,11.41
Saskylakh,71.92,114.08,67.77,66,92,8.48
Nelson Bay,-32.72,152.15,64.99,72,8,9.17
São Filipe,14.9,-24.5,76.77,83,83,13.27
Port Hedland,-20.32,118.57,82.4,17,0,12.75
Bengkulu,-3.8,102.27,84.31,71,96,7.47
Homer,59.64,-151.55,59.0,62,1,6.93
Oildale,35.42,-119.02,82.4,24,1,4.7
Conakry,9.54,-13.68,78.15,85,100,10.87
Huarmey,-10.07,-78.15,60.37,88,67,4.79
Sandy Bay,-42.91,147.35,53.01,62,75,5.82
Tuatapere,-46.13,167.68,41.34,80,64,7.72
Rudnogorsk,57.26,103.75,68.47,62,54,13.02
Tiarei,-17.53,-149.33,77.0,78,40,4.7
Nuevo Casas Grandes,30.42,-107.92,71.44,65,94,4.79
Ottawa,45.41,-75.7,64.0,91,0,4.21
Tautira,-17.73,-149.15,77.0,78,40,4.7
Barcelos,41.54,-8.62,64.0,100,14,4.54
Sheikhpura,25.15,85.85,90.66,62,88,1.97
Kavarna,43.43,28.33,71.6,88,75,6.93
Kodinsk,58.69,99.18,61.65,78,99,6.71
Hithadhoo,-0.6,73.08,83.44,71,56,8.59
Bose,45.46,8.01,71.6,78,52,2.24
Neryungri,56.67,124.65,66.34,78,95,7.43
Oistins,13.07,-59.53,78.8,78,75,10.29
Stokmarknes,68.56,14.91,55.4,93,75,4.7
Mweka,-4.85,21.57,71.01,40,8,1.03
Kulhudhuffushi,6.62,73.07,79.93,83,100,17.63
Godfrey,38.96,-90.19,72.0,100,1,5.59
Karratha,-20.74,116.85,79.34,28,0,13.06
Morón,-34.65,-58.62,48.99,92,100,5.99
Acapulco de Juárez,16.86,-99.89,80.02,79,71,3.71
Saint George,37.1,-113.58,81.0,39,1,9.17
Ati,13.22,18.34,80.01,65,99,8.14
Belawan,3.78,98.68,84.2,79,40,4.7
Bathsheba,13.22,-59.52,78.8,78,75,10.29
Quelimane,-17.88,36.89,67.39,81,64,3.13
Port-Cartier,50.03,-66.87,55.4,93,75,2.24
College,64.86,-147.8,64.4,55,75,3.36
Nipawin,53.37,-104.0,71.6,100,90,9.17
Līsakovsk,52.54,62.49,64.18,88,99,6.11
Nouadhibou,20.93,-17.03,75.2,78,12,2.24
Songjianghe,42.19,127.48,82.8,36,100,10.6
Esperance,-33.87,121.9,59.0,67,75,10.29
Eureka,40.8,-124.16,60.8,72,90,1.68
Agirish,61.92,63.02,69.03,40,70,6.08
Lidköping,58.51,13.16,53.6,100,100,5.82
Tiksi,71.69,128.87,68.36,49,38,11.43
Galle,6.04,80.22,79.39,83,99,7.31
Wewak,-3.55,143.63,85.08,68,75,8.7
Elizabeth City,36.29,-76.25,77.0,94,1,4.7
Dafeng,23.45,108.59,93.29,53,22,8.39
Mwinilunga,-11.74,24.43,51.93,60,0,8.21
Souillac,-20.52,57.52,67.5,64,68,23.85
Madingou,-4.15,13.55,68.99,74,6,2.53
Agadez,19.75,10.25,80.35,20,0,0.11
Kahului,20.89,-156.47,82.4,54,40,16.11
Naryan-Mar,67.67,53.09,72.3,52,1,9.64
Nushki,29.55,66.02,100.63,13,0,6.87
Aasiaat,68.71,-52.87,42.87,89,95,14.43
Ashington,50.93,-0.39,62.01,3,29,6.55
Cidreira,-30.18,-50.21,64.98,80,90,7.07
Alice Springs,-23.7,133.88,75.0,19,0,8.05
Lompoc,34.64,-120.46,59.0,82,41,6.93
Nautla,20.22,-96.78,80.51,78,0,6.15
Nizhniy Tsasuchey,50.52,115.13,83.88,47,100,6.51
Hlukhiv,51.68,33.92,60.13,79,75,5.28
Kruisfontein,-34.0,24.73,62.33,29,0,10.29
Iqaluit,63.75,-68.51,53.6,58,75,6.93
Barrow,71.29,-156.79,39.2,93,90,8.05
Gillette,44.29,-105.5,71.01,55,1,8.21
Nome,64.5,-165.41,50.0,81,90,10.29
Broome,42.25,-75.83,68.0,94,1,3.36
Bandrele,-12.91,45.19,77.0,65,75,19.46
Ponta Delgada,37.73,-25.67,62.6,88,40,3.36
Panacan,9.25,118.41,80.78,79,100,5.21
Puerto Suárez,-18.95,-57.8,70.54,48,0,3.53
El Alto,-4.27,-81.21,63.27,80,11,16.13
Talnakh,69.49,88.4,55.4,62,21,26.84
Vári,37.83,23.81,84.0,37,0,13.87
Nueve de Julio,-35.44,-60.88,41.0,88,99,5.99
Gawler,-34.6,138.73,66.0,42,1,8.99
Kalmar,56.66,16.36,57.0,93,82,3.36
Son La,21.32,103.9,90.05,55,9,0.89
Pisco,-13.7,-76.22,57.99,87,0,3.36
Prince Rupert,54.32,-130.32,55.4,93,90,5.82
Harper,4.38,-7.72,74.41,88,97,7.52
Shelburne,44.08,-80.2,62.6,93,1,2.24
Killam,52.78,-111.85,59.0,89,21,3.0
Daru,-9.08,143.21,79.18,81,44,15.7
Sawākin,19.11,37.33,97.16,39,89,14.47
Povenets,62.85,34.83,58.32,74,100,6.11
Viloco,-16.95,-67.55,39.52,73,88,1.05
Jijiga,9.35,42.8,61.9,81,90,13.78
Baker City,44.77,-117.83,64.4,45,1,5.82
Yulara,-25.24,130.99,71.6,23,0,5.82
Yangi Marg`ilon,40.43,71.72,86.0,35,77,6.93
Beian,63.66,9.57,53.6,71,75,13.87
Bubaque,11.28,-15.83,78.58,87,100,13.18
Cururupu,-1.83,-44.87,73.76,94,62,3.65
Rock Sound,24.9,-76.2,82.92,77,50,17.13
Westport,41.14,-73.36,73.4,94,20,4.7
Port Elizabeth,-33.92,25.57,42.8,81,0,2.24
Mitú,1.2,-70.17,70.97,98,100,1.66
Oodweyne,9.41,45.06,72.41,57,93,23.0
Taltal,-25.4,-70.48,49.89,54,0,4.47
Doha,25.29,51.53,100.99,71,20,12.75
Henties Bay,-22.12,14.28,64.99,25,0,1.01
Progreso,21.28,-89.67,78.01,94,75,11.41
Magadan,59.57,150.8,61.97,67,10,8.97
Padang,-0.95,100.35,84.2,79,20,4.7
Sivaki,52.63,126.75,75.42,73,100,13.91
General Roca,-39.03,-67.58,30.2,92,63,10.29
Osorno,-40.57,-73.15,30.2,100,2,1.83
Touros,-5.2,-35.46,69.8,94,15,8.05
Powell River,49.85,-124.54,64.0,77,75,2.24
Dourbali,11.81,15.86,77.32,76,79,8.3
Acaraú,-2.89,-40.12,75.7,87,93,12.06
Cockburn Town,21.46,-71.14,83.05,78,7,20.92
Poum,-20.23,164.02,74.08,76,1,11.77
San Luis,-33.3,-66.34,29.01,94,1,2.8
Baykit,61.67,96.37,60.96,60,100,5.73
Adrar,20.5,-10.07,90.14,35,0,11.23
Ingrāj Bāzār,25.0,88.15,87.69,68,100,6.8
Dinguiraye,11.3,-10.72,69.93,96,100,3.02
Caborca,30.58,-111.1,79.77,62,79,3.2
Shenzhen,22.55,114.07,93.2,52,20,12.75
Egvekinot,66.32,-179.17,62.31,55,69,5.19
Naze,28.37,129.48,87.8,79,75,18.34
La Asuncion,11.03,-63.86,87.8,70,67,13.87
Bogorodskoye,56.55,37.88,58.37,71,59,6.08
Laas,46.62,10.7,57.99,100,75,1.68
Suriāpet,17.15,79.62,83.7,64,99,0.27
Cairns,-16.92,145.77,78.8,57,75,14.99
Emba,48.83,58.14,80.96,34,0,20.78
Xai-Xai,-25.05,33.64,64.9,75,14,0.63
Killybegs,54.63,-8.45,55.0,95,45,1.99
Warrnambool,-38.38,142.48,55.0,74,100,5.01
Korla,41.76,86.15,82.83,26,0,3.13
Porto-Novo,6.5,2.6,75.2,94,20,10.29
Toba,34.48,136.85,78.8,78,75,3.36
Malanje,-9.54,16.34,54.5,42,0,6.11
Sobolevo,54.43,31.9,56.43,81,72,5.86
Longyearbyen,78.22,15.64,48.2,87,75,11.41
Port Hardy,50.7,-127.42,55.4,93,75,4.18
Lázaro Cárdenas,17.96,-102.2,79.63,80,99,3.02
Arrondissement de Blois,47.58,1.33,63.0,87,27,4.94
Faya,18.39,42.45,73.4,78,41,4.09
Hurghada,27.26,33.81,87.8,55,0,4.7
Mezen',65.85,44.24,74.82,51,69,12.26
Ko Samui,9.54,99.94,91.4,66,20,6.93
Kaeo,-35.1,173.78,54.0,3,24,7.0
Ankazoabo,-22.28,44.52,65.01,43,0,11.36
Zell am See,47.33,12.79,59.0,90,100,3.56
Waipawa,-41.41,175.52,46.99,61,22,5.82
Byron Bay,-28.65,153.62,60.8,93,90,8.05
Kendari,-3.94,122.5,83.68,66,85,7.25
Storm Lake,42.64,-95.21,77.0,100,75,11.41
Popondetta,-8.75,148.25,83.97,68,10,3.98
Narsaq,60.92,-46.05,50.0,81,100,3.36
Severo-Yeniseyskiy,60.37,93.04,48.15,94,100,8.66
Okha,53.57,142.95,57.2,65,100,8.59
Proletariy,58.43,31.7,56.86,74,53,7.16
Presidente Dutra,-5.29,-44.49,71.71,62,71,3.18
Inhambane,-23.86,35.38,62.6,88,40,4.7
Vágur,61.47,-6.81,52.36,94,100,10.83
Borba,-4.39,-59.59,75.94,78,41,0.4
Pangoa,-12.12,-73.0,66.36,90,70,2.55
Santa Maria,-29.68,-53.81,63.79,85,100,3.56
Bolton,53.58,-2.43,60.01,94,62,1.99
Begoro,6.39,-0.38,66.02,99,100,4.7
Cayenne,4.93,-52.33,75.2,100,90,4.72
Shostka,51.86,33.47,60.51,78,58,6.31
Paciran,-6.88,112.38,85.17,59,65,5.64
Vila Velha,-20.33,-40.29,62.6,93,20,2.24
Gaya,24.78,85.0,86.0,74,75,2.75
Talara,-4.58,-81.27,64.02,81,9,18.43
Xining,36.62,101.77,71.51,56,94,4.83
Zykovo,55.95,93.15,66.2,48,20,11.18
Te Anau,-45.42,167.72,38.1,86,74,5.26
Kushiro,42.98,144.37,68.0,88,75,8.05
Comodoro Rivadavia,-45.87,-67.5,32.0,73,0,13.87
Krasnosel'kup,65.7,82.47,61.61,54,42,14.65
Anadyr,64.75,177.48,68.0,60,84,2.24
Kiryat Gat,31.61,34.76,79.0,58,9,1.01
Bom Jardim,-7.8,-35.59,64.0,96,38,6.67
San Jose,37.34,-121.89,64.99,72,20,6.93
Fort Nelson,58.81,-122.7,62.6,72,75,6.93
Walvis Bay,-22.96,14.51,68.0,18,0,24.16
Krasnaya Zarya,52.78,37.68,60.53,69,60,5.95
Dolores,-36.31,-57.68,49.46,86,99,16.62
Steinbach am Taunus,50.17,8.57,71.01,67,90,3.36
Olbia,40.92,9.49,77.0,33,7,12.75
Vaitape,-16.52,-151.75,78.4,78,12,22.19
‘Āhuimanu,21.44,-157.84,82.4,65,75,9.17
Puerto Escondido,15.85,-97.07,80.11,78,74,3.56
Isiolo,0.35,37.58,71.74,60,52,2.71
Amazar,53.86,120.88,74.5,77,100,5.55
Venezuela,8.0,-66.0,76.12,86,78,10.04
Pevek,69.7,170.31,49.59,69,60,5.73
Buchanan,5.88,-10.05,75.33,89,99,8.21
Jumla,29.27,82.18,73.99,94,30,6.76
Srednekolymsk,67.45,153.68,90.99,27,1,3.22
Vostok,46.49,135.88,70.54,70,53,5.37
Umm Kaddadah,13.6,26.69,82.49,52,59,14.99
Bilma,18.69,12.92,86.2,16,0,5.35
Auki,-8.77,160.7,84.4,70,3,6.6
Tegul'det,57.31,88.17,67.53,58,90,5.73
Zrenjanin,45.38,20.38,66.2,88,1,1.12
Monrovia,6.3,-10.8,75.88,87,100,9.1
Lavrentiya,65.58,-171.0,55.74,64,98,6.82
Santa Vitória do Palmar,-33.52,-53.37,63.45,95,77,8.7
Ancud,-41.87,-73.82,42.01,93,90,1.12
Beidao,34.57,105.89,70.38,80,100,2.75
Puri,19.8,85.85,85.6,69,100,7.85
Nanortalik,60.14,-45.24,44.33,94,100,5.28
Pingliang,35.54,106.69,66.04,88,100,5.79
Chokurdakh,70.63,147.92,82.38,42,95,0.65
Antalaha,-14.9,50.28,68.52,84,100,15.05
Ovruch,51.32,28.8,60.13,73,0,4.03
Bereda,43.27,-7.54,59.0,100,69,1.43
Vestmannaeyjar,63.44,-20.27,50.13,83,86,8.43
Mossamedes,-15.2,12.15,67.87,52,0,7.05
Sechura,-5.56,-80.82,63.28,80,28,11.39
Parrita,9.52,-84.32,68.0,100,20,3.36
Isangel,-19.55,169.27,84.2,70,40,9.17
Roald,62.58,6.13,53.01,76,4,11.41
Grand-Lahou,5.14,-5.02,73.99,90,94,7.67
Caravelas,-17.71,-39.25,69.89,92,62,6.33
Taoudenni,22.68,-3.98,92.66,12,0,6.08
Kindu,-2.95,25.95,79.34,53,84,0.56
Atar,20.52,-13.05,84.31,55,10,6.44
Puerto Carreño,6.19,-67.49,75.54,89,82,1.48
Deer Lake,49.17,-57.43,55.74,90,5,1.57
Bonthe,7.53,-12.51,75.78,89,100,10.71
Forsytheganj,52.63,29.73,58.39,77,0,5.66
Tigil',57.8,158.67,63.52,66,57,10.38
Kavaratti,10.57,72.64,84.2,79,90,6.93
Brooks,50.58,-111.89,64.0,84,15,10.16
Bismarck,46.81,-100.78,80.6,78,1,8.05
Hay River,60.82,-115.8,53.6,81,75,6.93
Plettenberg Bay,-34.05,23.37,66.4,27,0,9.62
Kānt,27.8,79.8,95.14,46,0,9.24
Erzin,36.96,36.2,82.99,84,8,4.36
Yuxia,34.06,108.63,73.0,88,90,11.18
Innisfail,-17.53,146.03,66.0,82,71,5.01
Diffa,13.32,12.61,79.52,67,96,15.1
Vila Franca do Campo,37.72,-25.43,62.6,88,40,3.36
Christchurch,-43.53,172.63,48.0,60,61,5.82
Geraldton,-28.77,114.6,68.0,49,0,14.99
Kamaishi,39.27,141.88,82.4,61,75,11.41
Davidson,36.15,-86.78,77.0,83,75,1.52
Gizo Government Station,-8.1,156.84,83.53,79,80,15.93
Ikalamavony,-21.15,46.58,58.44,56,27,18.14
Buraidah,26.33,43.98,95.0,44,50,9.17
Haines Junction,60.75,-137.51,52.38,75,68,2.68
Liuzhou,24.31,109.39,92.07,60,75,10.02
Jutaí,-5.18,-68.9,72.03,96,77,1.34
Gornyy,55.12,83.91,65.26,56,21,3.33
Thinadhoo,0.53,72.93,83.23,70,63,7.72
Karagay,58.27,54.94,59.22,83,100,5.26
Sur,22.57,59.53,91.26,53,5,4.43
Lafia,8.48,8.52,72.46,96,100,3.29
Boueni,-12.9,45.08,77.0,65,75,19.46
Terme,41.21,36.97,75.2,64,20,9.17
Avila,40.58,-5.0,62.01,58,6,1.32
Béboto,8.27,16.94,71.82,92,93,1.5
La Ronge,55.1,-105.28,68.0,88,40,10.29
Hammerfest,70.66,23.68,50.0,100,75,3.36
Lichinga,-13.31,35.24,51.8,87,75,13.87
Ekhabi,53.51,142.97,57.6,63,100,8.39
Veselynove,47.36,31.23,68.0,72,20,8.95
Illintsi,49.1,29.22,60.8,72,20,7.09
Olafsvik,64.89,-23.71,44.98,75,23,17.69
Broken Hill,-31.95,141.43,66.2,37,75,12.75
Marawi,8.0,124.29,84.99,82,74,5.01
Departamento de Maldonado,-34.67,-54.92,53.6,93,90,11.41
Mariehamn,60.1,19.93,51.8,76,100,6.93
Carrick-on-Suir,52.35,-7.41,57.0,84,22,1.99
Watertown,42.37,-71.18,73.4,94,20,4.18
Bogale,16.28,95.4,92.07,54,64,2.44
Baiyin,36.56,104.21,80.01,64,90,2.24
Saint-Joseph,-21.37,55.62,69.8,52,20,32.21
Dubai,25.26,55.3,93.2,52,0,12.75
Mombetsu,44.35,143.35,60.8,100,75,10.29
High Level,58.52,-117.14,59.0,93,90,2.24
Ipixuna,-1.76,-48.8,78.8,83,70,8.05
Charters Towers,-20.1,146.27,74.34,46,10,5.23
Kikwit,-5.04,18.82,76.44,34,9,0.51
Kenai,60.55,-151.26,60.8,71,1,17.22
Necochea,-38.55,-58.74,46.0,28,96,18.01
Yaan,7.38,8.57,71.31,97,73,5.86
Zabaykal'sk,49.63,117.32,89.49,35,91,8.34
Cervo,43.67,-7.41,59.0,91,23,5.08
Polokwane,-23.9,29.47,41.0,80,75,4.0
Njombe,-9.33,34.77,51.64,69,73,8.68
Datong,40.09,113.29,85.46,33,10,5.12
Visakhapatnam,17.69,83.21,87.8,70,75,9.17
Meulaboh,4.14,96.13,84.81,66,61,5.37
Nagato,34.38,131.2,78.8,94,75,12.75
Tura,25.52,90.22,81.68,82,99,6.17
Burgeo,47.62,-57.62,58.82,95,100,9.04
Marrakesh,31.63,-8.01,71.6,78,0,3.36
Utrera,37.19,-5.78,80.01,53,0,3.36
Maryville,35.76,-83.97,73.99,88,20,5.82
Goba,7.02,39.98,57.43,80,34,2.64
Anaconda,46.13,-112.94,57.2,87,1,4.7
Viranşehir,37.24,39.76,98.06,15,0,6.76
Tanout,14.97,8.89,80.83,56,89,13.31
Yokadouma,3.52,15.05,69.76,90,90,3.15
Klaksvík,62.23,-6.59,50.0,100,100,9.17
Bilibino,68.05,166.44,82.47,41,55,11.3
Ambilobe,-13.2,49.05,75.34,49,87,2.42
Marzuq,14.4,46.47,82.26,50,12,7.52
Cap-aux-Meules,47.38,-61.86,62.6,100,90,2.24
Hualmay,-11.1,-77.61,60.64,86,79,6.93
Merauke,-8.47,140.33,81.23,74,27,18.54
Jiangmen,22.58,113.08,102.99,63,70,1.99
Quang Ngai,15.12,108.8,93.49,48,52,12.55
Alcúdia,39.85,3.12,73.0,73,0,3.36
Matara,5.95,80.54,77.99,84,100,8.37
Gijang,35.24,129.21,75.2,73,75,11.41
Tongren,27.72,109.19,90.25,62,100,6.73
Lorengau,-2.02,147.27,84.81,74,79,8.84
Luwuk,-0.95,122.79,83.59,67,69,7.96
Paita,-5.09,-81.11,62.55,84,25,11.36
Klyuchi,52.27,79.17,71.13,51,97,9.95
Matagami,49.75,-77.63,53.6,87,1,3.62
Aswān,24.09,32.91,94.46,17,19,14.05
San Isidro,-12.12,-77.05,59.0,87,20,4.7
Dakar,14.69,-17.44,80.6,88,20,8.34
Tyret’ Pervaya,53.67,102.31,78.31,50,24,2.68
Najrān,17.49,44.13,89.6,29,40,4.7
Aleksandrovskiy Zavod,50.92,117.94,84.72,49,57,9.06
Keelung,25.13,121.74,96.8,63,75,4.7
Wajir,1.75,40.06,77.83,53,50,21.0
Sittwe,20.15,92.9,84.31,80,94,12.19
Werda,-25.27,23.28,45.77,62,0,7.11
