City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Oyama,36.3,139.8,84.99,69,75,4.7,JP,1595569908
Sørland,67.67,12.69,51.8,93,75,20.8,NO,1595569908
Norman Wells,65.28,-126.83,57.2,71,20,10.29,CA,1595569755
Awjilah,29.11,21.29,76.32,65,0,8.25,LY,1595569909
Burnie,-41.07,145.92,48.99,83,100,3.0,AU,1595569620
Mil'kovo,54.72,158.62,69.24,51,8,1.36,RU,1595569909
Riyadh,24.69,46.72,95.0,30,32,10.29,SA,1595569638
Zyryanka,65.75,150.85,89.01,25,0,7.23,RU,1595569909
Hailey,43.52,-114.32,64.4,48,40,8.05,US,1595569910
Yeniseysk,58.45,92.17,57.34,73,99,8.08,RU,1595569910
Chatrapur,19.35,84.98,87.84,60,100,8.59,IN,1595569910
Thompson,55.74,-97.86,71.6,78,20,3.36,CA,1595569735
Tadine,-21.55,167.88,71.35,80,39,15.55,NC,1595569911
Panzhihua,26.59,101.71,80.01,55,99,1.01,CN,1595569911
Arraial do Cabo,-22.97,-42.03,70.65,79,6,22.46,BR,1595569749
Santa María del Oro,25.93,-105.37,64.65,84,96,7.58,MX,1595569912
Ilulissat,69.22,-51.1,53.6,58,100,4.7,GL,1595569816
Kieta,-6.22,155.63,84.45,70,89,5.73,PG,1595569912
Mahébourg,-20.41,57.7,67.57,64,69,24.07,MU,1595569721
Evensk,61.95,159.23,60.49,63,23,10.13,RU,1595569764
Opuwo,-18.06,13.84,48.63,48,0,8.59,NA,1595569913
Avarua,-21.21,-159.78,71.6,94,13,2.24,CK,1595569467
Faanui,-16.48,-151.75,77.54,79,11,22.28,PF,1595569767
Dahuk,36.87,42.99,99.72,12,53,3.83,IQ,1595569913
Nagapattinam,10.77,79.83,89.73,61,99,17.87,IN,1595569913
Guerrero Negro,27.98,-114.06,64.24,88,0,11.12,MX,1595569811
Ambon City,-3.7,128.18,82.0,88,75,8.05,ID,1595569914
Cap Malheureux,-19.98,57.61,70.0,52,52,8.99,MU,1595569914
Zeya,53.75,127.27,78.17,55,97,9.15,RU,1595569915
Imbituba,-28.24,-48.67,66.2,93,69,8.05,BR,1595569915
Tasiilaq,65.61,-37.64,37.4,93,98,6.93,GL,1595569768
Aklavik,68.22,-135.01,60.8,51,20,10.29,CA,1595569780
Turbat,26.0,63.04,92.05,50,51,7.74,PK,1595569915
Upata,8.01,-62.4,78.01,88,100,3.0,VE,1595569916
New Norfolk,-42.78,147.06,53.01,79,100,0.51,AU,1595569734
Melfort,52.87,-104.62,71.6,100,90,9.17,CA,1595569916
Goderich,43.75,-81.72,70.0,82,0,9.8,CA,1595569916
La Rochelle,46.17,-1.15,62.6,88,3,9.17,FR,1595569917
Lüderitz,-26.65,15.16,73.4,17,0,17.22,NA,1595569721
East London,-33.02,27.91,55.4,37,0,9.17,ZA,1595569772
Ahipara,-35.17,173.17,53.56,79,27,8.79,NZ,1595569747
Mount Isa,-20.73,139.5,80.6,22,0,1.12,AU,1595569918
Qaanaaq,77.48,-69.36,42.84,63,0,2.19,GL,1595569753
Apastovo,55.2,48.51,64.4,72,40,15.66,RU,1595569918
Sangar,63.92,127.47,76.68,44,96,7.25,RU,1595569918
Bandarbeyla,9.49,50.81,82.99,51,59,29.91,SO,1595569820
Jacareacanga,-6.22,-57.75,74.52,73,85,1.12,BR,1595569919
Ojinaga,29.57,-104.42,80.01,74,40,4.7,MX,1595569919
Severo-Kuril'sk,50.68,156.12,51.04,85,99,3.53,RU,1595569738
Richards Bay,-28.78,32.04,60.57,68,8,5.55,ZA,1595569919
Kinkala,-4.36,14.76,64.4,93,22,4.7,CG,1595569920
Pangody,65.85,74.49,60.82,49,0,14.41,RU,1595569920
Flinders,-34.58,150.86,66.99,63,0,5.99,AU,1595569812
Asău,46.43,26.4,69.01,82,40,2.91,RO,1595569806
Mt. Pleasant,32.79,-79.86,82.99,94,1,8.88,US,1595569921
Grand Gaube,-20.01,57.66,70.0,52,56,8.99,MU,1595569748
Yumen,40.28,97.2,87.03,17,90,11.79,CN,1595569734
Sakakah,29.97,40.21,93.2,18,0,10.29,SA,1595569922
Bisira,8.52,-81.71,58.46,100,100,3.18,PA,1595569922
Salgótarján,48.1,19.8,69.01,81,51,1.83,HU,1595569922
Husavik,66.04,-17.34,42.8,87,90,9.17,IS,1595569797
Makakilo City,21.35,-158.09,82.4,54,1,5.82,US,1595569761
Saldanha,-33.01,17.94,48.2,66,0,1.12,ZA,1595569762
Cametá,-2.24,-49.5,76.87,83,99,7.38,BR,1595569923
Tibacuy,4.35,-72.46,73.67,91,99,3.6,CO,1595569923
Natitingou,10.3,1.38,70.34,96,99,6.29,BJ,1595569924
Katobu,-4.94,122.53,84.9,58,83,4.05,ID,1595569924
Lagunas,-5.23,-75.68,71.58,93,19,0.09,PE,1595569924
Ust-Nera,64.57,143.2,85.1,34,93,2.15,RU,1595569924
Silver City,32.77,-108.28,68.0,72,40,3.36,US,1595569925
Kupang,-10.17,123.58,87.8,31,20,21.92,ID,1595569811
Micheweni,-4.97,39.83,78.04,69,0,18.1,TZ,1595569925
Mehamn,71.04,27.85,50.0,100,90,3.36,NO,1595569781
Loikaw,19.67,97.21,84.29,70,41,2.19,MM,1595569926
Kayerkan,69.35,87.76,55.4,62,20,26.84,RU,1595569926
Soyo,-6.13,12.37,70.32,85,26,1.88,AO,1595569926
Mufumbwe,-13.68,24.8,51.84,59,55,10.27,ZM,1595569926
Ribeira Grande,38.52,-28.7,68.59,72,10,5.73,PT,1595569779
Half Moon Bay,37.46,-122.43,61.0,93,90,5.82,US,1595569726
Tuktoyaktuk,69.45,-133.04,59.0,58,20,11.41,CA,1595569751
Saskylakh,71.92,114.08,67.77,66,92,8.48,RU,1595569727
Nelson Bay,-32.72,152.15,64.99,72,8,9.17,AU,1595569841
São Filipe,14.9,-24.5,76.77,83,83,13.27,CV,1595569760
Port Hedland,-20.32,118.57,82.4,17,0,12.75,AU,1595569556
Bengkulu,-3.8,102.27,84.31,71,96,7.47,ID,1595569536
Homer,59.64,-151.55,59.0,62,1,6.93,US,1595569759
Oildale,35.42,-119.02,82.4,24,1,4.7,US,1595569928
Conakry,9.54,-13.68,78.15,85,100,10.87,GN,1595569928
Huarmey,-10.07,-78.15,60.37,88,67,4.79,PE,1595569929
Sandy Bay,-42.91,147.35,53.01,62,75,5.82,AU,1595569929
Tuatapere,-46.13,167.68,41.34,80,64,7.72,NZ,1595569771
Rudnogorsk,57.26,103.75,68.47,62,54,13.02,RU,1595569929
Tiarei,-17.53,-149.33,77.0,78,40,4.7,PF,1595569929
Nuevo Casas Grandes,30.42,-107.92,71.44,65,94,4.79,MX,1595569930
Ottawa,45.41,-75.7,64.0,91,0,4.21,CA,1595569714
Tautira,-17.73,-149.15,77.0,78,40,4.7,PF,1595569764
Barcelos,41.54,-8.62,64.0,100,14,4.54,PT,1595569866
Sheikhpura,25.15,85.85,90.66,62,88,1.97,IN,1595569930
Kavarna,43.43,28.33,71.6,88,75,6.93,BG,1595569931
Kodinsk,58.69,99.18,61.65,78,99,6.71,RU,1595569931
Hithadhoo,-0.6,73.08,83.44,71,56,8.59,MV,1595569737
Bose,45.46,8.01,71.6,78,52,2.24,IT,1595569931
Neryungri,56.67,124.65,66.34,78,95,7.43,RU,1595569932
Oistins,13.07,-59.53,78.8,78,75,10.29,BB,1595569932
Stokmarknes,68.56,14.91,55.4,93,75,4.7,NO,1595569932
Mweka,-4.85,21.57,71.01,40,8,1.03,CD,1595569933
Kulhudhuffushi,6.62,73.07,79.93,83,100,17.63,MV,1595569933
Godfrey,38.96,-90.19,72.0,100,1,5.59,US,1595569933
Karratha,-20.74,116.85,79.34,28,0,13.06,AU,1595569781
Morón,-34.65,-58.62,48.99,92,100,5.99,AR,1595569934
Acapulco de Juárez,16.86,-99.89,80.02,79,71,3.71,MX,1595569777
Saint George,37.1,-113.58,81.0,39,1,9.17,US,1595569768
Ati,13.22,18.34,80.01,65,99,8.14,TD,1595569934
Belawan,3.78,98.68,84.2,79,40,4.7,ID,1595569934
Bathsheba,13.22,-59.52,78.8,78,75,10.29,BB,1595569838
Quelimane,-17.88,36.89,67.39,81,64,3.13,MZ,1595569935
Port-Cartier,50.03,-66.87,55.4,93,75,2.24,CA,1595569935
College,64.86,-147.8,64.4,55,75,3.36,US,1595569770
Nipawin,53.37,-104.0,71.6,100,90,9.17,CA,1595569935
Līsakovsk,52.54,62.49,64.18,88,99,6.11,KZ,1595569936
Nouadhibou,20.93,-17.03,75.2,78,12,2.24,MR,1595569936
Songjianghe,42.19,127.48,82.8,36,100,10.6,CN,1595569936
Esperance,-33.87,121.9,59.0,67,75,10.29,AU,1595569737
Eureka,40.8,-124.16,60.8,72,90,1.68,US,1595569631
Agirish,61.92,63.02,69.03,40,70,6.08,RU,1595569937
Lidköping,58.51,13.16,53.6,100,100,5.82,SE,1595569937
Tiksi,71.69,128.87,68.36,49,38,11.43,RU,1595569820
Galle,6.04,80.22,79.39,83,99,7.31,LK,1595569938
Wewak,-3.55,143.63,85.08,68,75,8.7,PG,1595569938
Elizabeth City,36.29,-76.25,77.0,94,1,4.7,US,1595569938
Dafeng,23.45,108.59,93.29,53,22,8.39,CN,1595569938
Mwinilunga,-11.74,24.43,51.93,60,0,8.21,ZM,1595569938
Souillac,-20.52,57.52,67.5,64,68,23.85,MU,1595569735
Madingou,-4.15,13.55,68.99,74,6,2.53,CG,1595569939
Agadez,19.75,10.25,80.35,20,0,0.11,NE,1595569939
Kahului,20.89,-156.47,82.4,54,40,16.11,US,1595569834
Naryan-Mar,67.67,53.09,72.3,52,1,9.64,RU,1595569939
Nushki,29.55,66.02,100.63,13,0,6.87,PK,1595569940
Aasiaat,68.71,-52.87,42.87,89,95,14.43,GL,1595569940
Ashington,50.93,-0.39,62.01,3,29,6.55,GB,1595569940
Cidreira,-30.18,-50.21,64.98,80,90,7.07,BR,1595569751
Alice Springs,-23.7,133.88,75.0,19,0,8.05,AU,1595569784
Lompoc,34.64,-120.46,59.0,82,41,6.93,US,1595569731
Nautla,20.22,-96.78,80.51,78,0,6.15,MX,1595569941
Nizhniy Tsasuchey,50.52,115.13,83.88,47,100,6.51,RU,1595569941
Hlukhiv,51.68,33.92,60.13,79,75,5.28,UA,1595569941
Kruisfontein,-34.0,24.73,62.33,29,0,10.29,ZA,1595569773
Iqaluit,63.75,-68.51,53.6,58,75,6.93,CA,1595569792
Barrow,71.29,-156.79,39.2,93,90,8.05,US,1595569775
Gillette,44.29,-105.5,71.01,55,1,8.21,US,1595569942
Nome,64.5,-165.41,50.0,81,90,10.29,US,1595569808
Broome,42.25,-75.83,68.0,94,1,3.36,US,1595569812
Bandrele,-12.91,45.19,77.0,65,75,19.46,YT,1595569943
Ponta Delgada,37.73,-25.67,62.6,88,40,3.36,PT,1595569943
Panacan,9.25,118.41,80.78,79,100,5.21,PH,1595569943
Puerto Suárez,-18.95,-57.8,70.54,48,0,3.53,BO,1595569944
El Alto,-4.27,-81.21,63.27,80,11,16.13,PE,1595569944
Talnakh,69.49,88.4,55.4,62,21,26.84,RU,1595569782
Vári,37.83,23.81,84.0,37,0,13.87,GR,1595569944
Nueve de Julio,-35.44,-60.88,41.0,88,99,5.99,AR,1595569944
Gawler,-34.6,138.73,66.0,42,1,8.99,AU,1595569945
Kalmar,56.66,16.36,57.0,93,82,3.36,SE,1595569821
Son La,21.32,103.9,90.05,55,9,0.89,VN,1595569945
Pisco,-13.7,-76.22,57.99,87,0,3.36,PE,1595569810
Prince Rupert,54.32,-130.32,55.4,93,90,5.82,CA,1595569945
Harper,4.38,-7.72,74.41,88,97,7.52,LR,1595569946
Shelburne,44.08,-80.2,62.6,93,1,2.24,CA,1595569683
Killam,52.78,-111.85,59.0,89,21,3.0,CA,1595569946
Daru,-9.08,143.21,79.18,81,44,15.7,PG,1595569827
Sawākin,19.11,37.33,97.16,39,89,14.47,SD,1595569946
Povenets,62.85,34.83,58.32,74,100,6.11,RU,1595569947
Viloco,-16.95,-67.55,39.52,73,88,1.05,BO,1595569947
Jijiga,9.35,42.8,61.9,81,90,13.78,ET,1595569947
Baker City,44.77,-117.83,64.4,45,1,5.82,US,1595569947
Yulara,-25.24,130.99,71.6,23,0,5.82,AU,1595569773
Yangi Marg`ilon,40.43,71.72,86.0,35,77,6.93,UZ,1595569818
Beian,63.66,9.57,53.6,71,75,13.87,NO,1595569758
Bubaque,11.28,-15.83,78.58,87,100,13.18,GW,1595569948
Cururupu,-1.83,-44.87,73.76,94,62,3.65,BR,1595569819
Rock Sound,24.9,-76.2,82.92,77,50,17.13,BS,1595569948
Westport,41.14,-73.36,73.4,94,20,4.7,US,1595569923
Port Elizabeth,-33.92,25.57,42.8,81,0,2.24,ZA,1595569728
Mitú,1.2,-70.17,70.97,98,100,1.66,CO,1595569949
Oodweyne,9.41,45.06,72.41,57,93,23.0,SO,1595569949
Taltal,-25.4,-70.48,49.89,54,0,4.47,CL,1595569842
Doha,25.29,51.53,100.99,71,20,12.75,QA,1595569672
Henties Bay,-22.12,14.28,64.99,25,0,1.01,NA,1595569796
Progreso,21.28,-89.67,78.01,94,75,11.41,MX,1595569950
Magadan,59.57,150.8,61.97,67,10,8.97,RU,1595569951
Padang,-0.95,100.35,84.2,79,20,4.7,ID,1595569951
Sivaki,52.63,126.75,75.42,73,100,13.91,RU,1595569951
General Roca,-39.03,-67.58,30.2,92,63,10.29,AR,1595569951
Osorno,-40.57,-73.15,30.2,100,2,1.83,CL,1595569952
Touros,-5.2,-35.46,69.8,94,15,8.05,BR,1595569722
Powell River,49.85,-124.54,64.0,77,75,2.24,CA,1595569952
Dourbali,11.81,15.86,77.32,76,79,8.3,TD,1595569952
Acaraú,-2.89,-40.12,75.7,87,93,12.06,BR,1595569952
Cockburn Town,21.46,-71.14,83.05,78,7,20.92,TC,1595569738
Poum,-20.23,164.02,74.08,76,1,11.77,NC,1595569747
San Luis,-33.3,-66.34,29.01,94,1,2.8,AR,1595569758
Baykit,61.67,96.37,60.96,60,100,5.73,RU,1595569953
Adrar,20.5,-10.07,90.14,35,0,11.23,MR,1595569836
Ingrāj Bāzār,25.0,88.15,87.69,68,100,6.8,IN,1595569954
Dinguiraye,11.3,-10.72,69.93,96,100,3.02,GN,1595569954
Caborca,30.58,-111.1,79.77,62,79,3.2,MX,1595569954
Shenzhen,22.55,114.07,93.2,52,20,12.75,CN,1595569954
Egvekinot,66.32,-179.17,62.31,55,69,5.19,RU,1595569786
Naze,28.37,129.48,87.8,79,75,18.34,JP,1595569718
La Asuncion,11.03,-63.86,87.8,70,67,13.87,VE,1595569705
Bogorodskoye,56.55,37.88,58.37,71,59,6.08,RU,1595569955
Laas,46.62,10.7,57.99,100,75,1.68,IT,1595569955
Suriāpet,17.15,79.62,83.7,64,99,0.27,IN,1595569803
Cairns,-16.92,145.77,78.8,57,75,14.99,AU,1595569810
Emba,48.83,58.14,80.96,34,0,20.78,KZ,1595569750
Xai-Xai,-25.05,33.64,64.9,75,14,0.63,MZ,1595569956
Killybegs,54.63,-8.45,55.0,95,45,1.99,IE,1595569957
Warrnambool,-38.38,142.48,55.0,74,100,5.01,AU,1595569799
Korla,41.76,86.15,82.83,26,0,3.13,CN,1595569957
Porto-Novo,6.5,2.6,75.2,94,20,10.29,BJ,1595569957
Toba,34.48,136.85,78.8,78,75,3.36,JP,1595569957
Malanje,-9.54,16.34,54.5,42,0,6.11,AO,1595569957
Sobolevo,54.43,31.9,56.43,81,72,5.86,RU,1595569728
Longyearbyen,78.22,15.64,48.2,87,75,11.41,SJ,1595569733
Port Hardy,50.7,-127.42,55.4,93,75,4.18,CA,1595569816
Lázaro Cárdenas,17.96,-102.2,79.63,80,99,3.02,MX,1595569759
Arrondissement de Blois,47.58,1.33,63.0,87,27,4.94,FR,1595569959
Faya,18.39,42.45,73.4,78,41,4.09,SA,1595569728
Hurghada,27.26,33.81,87.8,55,0,4.7,EG,1595569959
Mezen',65.85,44.24,74.82,51,69,12.26,RU,1595569959
Ko Samui,9.54,99.94,91.4,66,20,6.93,TH,1595569959
Kaeo,-35.1,173.78,54.0,3,24,7.0,NZ,1595569781
Ankazoabo,-22.28,44.52,65.01,43,0,11.36,MG,1595569960
Zell am See,47.33,12.79,59.0,90,100,3.56,AT,1595569960
Waipawa,-41.41,175.52,46.99,61,22,5.82,NZ,1595569960
Byron Bay,-28.65,153.62,60.8,93,90,8.05,AU,1595569621
Kendari,-3.94,122.5,83.68,66,85,7.25,ID,1595569961
Storm Lake,42.64,-95.21,77.0,100,75,11.41,US,1595569961
Popondetta,-8.75,148.25,83.97,68,10,3.98,PG,1595569961
Narsaq,60.92,-46.05,50.0,81,100,3.36,GL,1595569961
Severo-Yeniseyskiy,60.37,93.04,48.15,94,100,8.66,RU,1595569962
Okha,53.57,142.95,57.2,65,100,8.59,RU,1595569962
Proletariy,58.43,31.7,56.86,74,53,7.16,RU,1595569962
Presidente Dutra,-5.29,-44.49,71.71,62,71,3.18,BR,1595569962
Inhambane,-23.86,35.38,62.6,88,40,4.7,MZ,1595569783
Vágur,61.47,-6.81,52.36,94,100,10.83,FO,1595569963
Borba,-4.39,-59.59,75.94,78,41,0.4,BR,1595569963
Pangoa,-12.12,-73.0,66.36,90,70,2.55,PE,1595569963
Santa Maria,-29.68,-53.81,63.79,85,100,3.56,BR,1595569963
Bolton,53.58,-2.43,60.01,94,62,1.99,GB,1595569963
Begoro,6.39,-0.38,66.02,99,100,4.7,GH,1595569964
Cayenne,4.93,-52.33,75.2,100,90,4.72,GF,1595569763
Shostka,51.86,33.47,60.51,78,58,6.31,UA,1595569964
Paciran,-6.88,112.38,85.17,59,65,5.64,ID,1595569964
Vila Velha,-20.33,-40.29,62.6,93,20,2.24,BR,1595569729
Gaya,24.78,85.0,86.0,74,75,2.75,IN,1595569882
Talara,-4.58,-81.27,64.02,81,9,18.43,PE,1595569965
Xining,36.62,101.77,71.51,56,94,4.83,CN,1595569811
Zykovo,55.95,93.15,66.2,48,20,11.18,RU,1595569965
Te Anau,-45.42,167.72,38.1,86,74,5.26,NZ,1595569800
Kushiro,42.98,144.37,68.0,88,75,8.05,JP,1595569966
Comodoro Rivadavia,-45.87,-67.5,32.0,73,0,13.87,AR,1595569928
Krasnosel'kup,65.7,82.47,61.61,54,42,14.65,RU,1595569769
Anadyr,64.75,177.48,68.0,60,84,2.24,RU,1595569838
Kiryat Gat,31.61,34.76,79.0,58,9,1.01,IL,1595569799
Bom Jardim,-7.8,-35.59,64.0,96,38,6.67,BR,1595569967
San Jose,37.34,-121.89,64.99,72,20,6.93,US,1595569893
Fort Nelson,58.81,-122.7,62.6,72,75,6.93,CA,1595569529
Walvis Bay,-22.96,14.51,68.0,18,0,24.16,NA,1595569967
Krasnaya Zarya,52.78,37.68,60.53,69,60,5.95,RU,1595569967
Dolores,-36.31,-57.68,49.46,86,99,16.62,AR,1595569968
Steinbach am Taunus,50.17,8.57,71.01,67,90,3.36,DE,1595569968
Olbia,40.92,9.49,77.0,33,7,12.75,IT,1595569968
Vaitape,-16.52,-151.75,78.4,78,12,22.19,PF,1595569752
‘Āhuimanu,21.44,-157.84,82.4,65,75,9.17,US,1595569969
Puerto Escondido,15.85,-97.07,80.11,78,74,3.56,MX,1595569663
Isiolo,0.35,37.58,71.74,60,52,2.71,KE,1595569969
Amazar,53.86,120.88,74.5,77,100,5.55,RU,1595569969
Venezuela,8.0,-66.0,76.12,86,78,10.04,VE,1595569969
Pevek,69.7,170.31,49.59,69,60,5.73,RU,1595569778
Buchanan,5.88,-10.05,75.33,89,99,8.21,LR,1595569970
Jumla,29.27,82.18,73.99,94,30,6.76,NP,1595569970
Srednekolymsk,67.45,153.68,90.99,27,1,3.22,RU,1595569762
Vostok,46.49,135.88,70.54,70,53,5.37,RU,1595569824
Umm Kaddadah,13.6,26.69,82.49,52,59,14.99,SD,1595569804
Bilma,18.69,12.92,86.2,16,0,5.35,NE,1595569971
Auki,-8.77,160.7,84.4,70,3,6.6,SB,1595569971
Tegul'det,57.31,88.17,67.53,58,90,5.73,RU,1595569754
Zrenjanin,45.38,20.38,66.2,88,1,1.12,RS,1595569972
Monrovia,6.3,-10.8,75.88,87,100,9.1,LR,1595569646
Lavrentiya,65.58,-171.0,55.74,64,98,6.82,RU,1595569732
Santa Vitória do Palmar,-33.52,-53.37,63.45,95,77,8.7,BR,1595569972
Ancud,-41.87,-73.82,42.01,93,90,1.12,CL,1595569831
Beidao,34.57,105.89,70.38,80,100,2.75,CN,1595569973
Puri,19.8,85.85,85.6,69,100,7.85,IN,1595569752
Nanortalik,60.14,-45.24,44.33,94,100,5.28,GL,1595569740
Pingliang,35.54,106.69,66.04,88,100,5.79,CN,1595569973
Chokurdakh,70.63,147.92,82.38,42,95,0.65,RU,1595569729
Antalaha,-14.9,50.28,68.52,84,100,15.05,MG,1595569974
Ovruch,51.32,28.8,60.13,73,0,4.03,UA,1595569974
